s,A(s) (GHz),B(s) (GHz),C (normalized)
0.000,9.69285800,0.49384170,0.00000000
0.001,9.60415600,0.49837740,0.00478549
0.002,9.51658300,0.50293380,0.00948407
0.003,9.43052700,0.50751100,0.01406603
0.004,9.34507400,0.51210890,0.01860249
0.005,9.26126200,0.51672750,0.02301482
0.006,9.17859100,0.52136680,0.02734150
0.007,9.09656600,0.52602690,0.03162047
0.008,9.01607300,0.53070780,0.03578592
0.009,8.93660000,0.53540930,0.03987652
0.010,8.85762600,0.54013160,0.04393117
0.011,8.78034000,0.54487460,0.04786317
0.012,8.70401900,0.54963840,0.05172604
0.013,8.62807900,0.55442290,0.05556192
0.014,8.55349800,0.55922810,0.05930118
0.015,8.48015600,0.56405410,0.06295325
0.016,8.40725800,0.56890070,0.06657458
0.017,8.33499400,0.57376820,0.07015170
0.018,8.26441100,0.57865630,0.07361245
0.019,8.19434300,0.58356520,0.07703818
0.020,8.12434500,0.58849490,0.08045914
0.021,8.05606500,0.59344520,0.08376350
0.022,7.98890000,0.59841630,0.08699276
0.023,7.92206700,0.60340810,0.09020000
0.024,7.85526300,0.60842070,0.09340537
0.025,7.79066000,0.61345400,0.09646512
0.026,7.72672900,0.61850800,0.09948114
0.027,7.66295100,0.62358280,0.10248720
0.028,7.59917500,0.62867830,0.10549320
0.029,7.53775700,0.63379450,0.10834740
0.030,7.47719000,0.63893150,0.11114770
0.031,7.41676100,0.64408920,0.11393930
0.032,7.35633100,0.64926760,0.11673100
0.033,7.29713900,0.65446680,0.11944520
0.034,7.23931400,0.65968670,0.12207430
0.035,7.18170100,0.66492730,0.12469040
0.036,7.12408800,0.67018870,0.12730650
0.037,7.06649400,0.67547080,0.12992140
0.038,7.01112100,0.68077360,0.13240120
0.039,6.95653800,0.68609720,0.13483320
0.040,6.90195600,0.69144150,0.13726520
0.041,6.84737300,0.69680660,0.13969720
0.042,6.79284300,0.70219230,0.14212610
0.043,6.74029900,0.70759880,0.14443710
0.044,6.68839700,0.71302610,0.14671040
0.045,6.63649500,0.71847410,0.14898370
0.046,6.58459300,0.72394280,0.15125690
0.047,6.53269000,0.72943220,0.15353020
0.048,6.48255700,0.73494240,0.15570200
0.049,6.43426800,0.74047330,0.15776830
0.050,6.38598000,0.74602490,0.15983460
0.051,6.33769200,0.75159730,0.16190090
0.052,6.28940400,0.75719040,0.16396720
0.053,6.24121600,0.76280430,0.16602790
0.054,6.19454700,0.76843880,0.16800470
0.055,6.14893700,0.77409420,0.16992300
0.056,6.10333900,0.77977020,0.17184060
0.057,6.05774100,0.78546700,0.17375820
0.058,6.01214300,0.79118450,0.17567590
0.059,5.96660500,0.79692270,0.17759020
0.060,5.92227000,0.80268170,0.17944000
0.061,5.87931800,0.80846140,0.18121570
0.062,5.83666000,0.81426190,0.18297560
0.063,5.79400200,0.82008310,0.18473540
0.064,5.75134500,0.82592500,0.18649530
0.065,5.70868700,0.83178760,0.18825510
0.066,5.66626200,0.83767100,0.19000290
0.067,5.62508400,0.84357520,0.19168590
0.068,5.58476600,0.84950000,0.19332410
0.069,5.54478800,0.85544560,0.19494470
0.070,5.50480900,0.86141190,0.19656530
0.071,5.46483000,0.86739900,0.19818590
0.072,5.42485200,0.87340680,0.19980650
0.073,5.38500700,0.87943530,0.20142030
0.074,5.34584700,0.88548450,0.20300010
0.075,5.30841800,0.89155450,0.20449310
0.076,5.27121600,0.89764530,0.20597470
0.077,5.23431600,0.90375670,0.20744120
0.078,5.19741500,0.90988890,0.20890760
0.079,5.16051500,0.91604180,0.21037410
0.080,5.12361500,0.92221550,0.21184060
0.081,5.08688200,0.92840990,0.21329900
0.082,5.05073400,0.93462500,0.21472940
0.083,5.01587700,0.94086090,0.21609780
0.084,4.98134900,0.94711750,0.21745030
0.085,4.94717500,0.95339480,0.21878580
0.086,4.91311500,0.95969290,0.22011590
0.087,4.87905600,0.96601170,0.22144590
0.088,4.84499600,0.97235120,0.22277600
0.089,4.81093600,0.97871140,0.22410600
0.090,4.77715400,0.98509240,0.22542330
0.091,4.74394300,0.99149420,0.22671430
