s,A(s) (GHz),B(s) (GHz),C (normalized)
0.00000000E+00,9.87512500E+00,2.24006100E-01,0.00000000E+00
1.00100100E-03,9.78051300E+00,2.26160200E-01,5.42153100E-03
2.00200200E-03,9.68849400E+00,2.28324500E-01,1.06228100E-02
3.00300300E-03,9.59647500E+00,2.30499200E-01,1.58241000E-02
4.00400400E-03,9.50459300E+00,2.32684100E-01,2.10140300E-02
5.00500500E-03,9.41718000E+00,2.34879400E-01,2.58351500E-02
6.00600600E-03,9.32980500E+00,2.37084900E-01,3.06530000E-02
7.00700700E-03,9.24243100E+00,2.39300800E-01,3.54708600E-02
8.00800800E-03,9.15671200E+00,2.41527000E-01,4.01562100E-02
9.00900900E-03,9.07356100E+00,2.43763500E-01,4.46356300E-02
1.00100100E-02,8.99041000E+00,2.46010300E-01,4.91150600E-02
1.10110100E-02,8.90725900E+00,2.48267400E-01,5.35944800E-02
1.20120100E-02,8.82625700E+00,2.50534800E-01,5.79068300E-02
1.30130100E-02,8.74747300E+00,2.52812500E-01,6.20464700E-02
1.40140100E-02,8.66868900E+00,2.55100500E-01,6.61861200E-02
1.50150200E-02,8.58990400E+00,2.57398900E-01,7.03257600E-02
1.60160200E-02,8.51233900E+00,2.59707500E-01,7.43738900E-02
1.70170200E-02,8.43807700E+00,2.62026500E-01,7.81730300E-02
1.80180200E-02,8.36381500E+00,2.64355700E-01,8.19721800E-02
1.90190200E-02,8.28955400E+00,2.66695300E-01,8.57713200E-02
2.00200200E-02,8.21529200E+00,2.69045100E-01,8.95704700E-02
2.10210200E-02,8.14408900E+00,2.71405300E-01,9.31477000E-02
2.20220200E-02,8.07444000E+00,2.73775800E-01,9.66119900E-02
2.30230200E-02,8.00479100E+00,2.76156600E-01,1.00076300E-01
2.40240200E-02,7.93514200E+00,2.78547700E-01,1.03540600E-01
2.50250300E-02,7.86558900E+00,2.80949100E-01,1.06998200E-01
2.60260300E-02,7.79862900E+00,2.83360800E-01,1.10274700E-01
