s,A(s) (GHz),B(s) (GHz),C (normalized)
0.000,9.71343800,0.25967330,0.00000000
0.001,9.69574300,0.26015150,0.00100000
0.002,9.67804900,0.26063010,0.00200000
0.003,9.66035400,0.26110920,0.00300000
0.004,9.64265900,0.26158870,0.00400000
0.005,9.62496500,0.26206860,0.00500000
0.006,9.60727000,0.26254900,0.00600000
0.007,9.58957500,0.26302980,0.00700000
0.008,9.57188000,0.26351110,0.00800000
0.009,9.55418600,0.26399280,0.00900000
0.010,9.53648200,0.26447570,0.01000000
0.011,9.51858100,0.26497520,0.01100000
0.012,9.50067900,0.26547520,0.01200000
0.013,9.48277800,0.26597560,0.01300000
0.014,9.46487700,0.26647650,0.01400000
0.015,9.44697600,0.26697790,0.01500000
0.016,9.42902200,0.26748450,0.01600000
0.017,9.41092100,0.26800480,0.01700000
0.018,9.39282100,0.26852560,0.01800000
0.019,9.37472100,0.26904690,0.01900000
0.020,9.35662000,0.26956870,0.02000000
0.021,9.33852000,0.27009100,0.02100000
0.022,9.32041900,0.27061380,0.02200000
0.023,9.30231900,0.27113710,0.02300000
0.024,9.28421800,0.27166090,0.02400000
0.025,9.26611800,0.27218520,0.02500000
0.026,9.24801800,0.27271010,0.02600000
0.027,9.22974700,0.27325040,0.02700000
0.028,9.21144500,0.27379400,0.02800000
0.029,9.19314300,0.27433820,0.02900000
0.030,9.17484000,0.27488300,0.03000000
0.031,9.15653800,0.27542820,0.03100000
0.032,9.13823600,0.27597410,0.03200000
0.033,9.11973300,0.27653990,0.03300000
0.034,9.10120500,0.27710890,0.03400000
0.035,9.08267700,0.27767850,0.03500000
0.036,9.06414900,0.27824870,0.03600000
0.037,9.04562000,0.27881940,0.03700000
0.038,9.02709200,0.27939070,0.03800000
0.039,9.00856400,0.27996260,0.03900000
0.040,8.99003500,0.28053510,0.04000000
0.041,8.97150700,0.28110820,0.04100000
0.042,8.95297900,0.28168190,0.04200000
0.043,8.93431100,0.28226940,0.04300000
0.044,8.91556300,0.28286510,0.04400000
0.045,8.89681500,0.28346150,0.04500000
0.046,8.87806700,0.28405840,0.04600000
0.047,8.85931900,0.28465600,0.04700000
0.048,8.84057200,0.28525420,0.04800000
0.049,8.82171400,0.28586470,0.04900000
0.050,8.80274900,0.28648720,0.05000000
0.051,8.78378400,0.28711040,0.05100000
0.052,8.76482000,0.28773430,0.05200000
0.053,8.74585500,0.28835880,0.05300000
0.054,8.72689000,0.28898410,0.05400000
0.055,8.70792500,0.28961000,0.05500000
0.056,8.68896000,0.29023650,0.05600000
0.057,8.66999500,0.29086380,0.05700000
0.058,8.65103000,0.29149170,0.05800000
0.059,8.63196200,0.29213100,0.05900000
0.060,8.61275900,0.29278490,0.06000000
0.061,8.59355700,0.29343960,0.06100000
0.062,8.57435400,0.29409500,0.06200000
0.063,8.55515100,0.29475110,0.06300000
0.064,8.53594800,0.29540790,0.06400000
0.065,8.51671700,0.29606870,0.06500000
0.066,8.49729000,0.29675280,0.06600000
0.067,8.47786300,0.29743770,0.06700000
0.068,8.45843600,0.29812340,0.06800000
0.069,8.43900900,0.29880990,0.06900000
0.070,8.41958100,0.29949720,0.07000000
0.071,8.40015400,0.30018520,0.07100000
0.072,8.38072700,0.30087410,0.07200000
0.073,8.36130000,0.30156370,0.07300000
0.074,8.34187300,0.30225420,0.07400000
0.075,8.32239300,0.30295120,0.07500000
0.076,8.30274200,0.30366840,0.07600000
0.077,8.28309000,0.30438640,0.07700000
0.078,8.26343900,0.30510530,0.07800000
0.079,8.24378700,0.30582500,0.07900000
0.080,8.22413600,0.30654560,0.08000000
0.081,8.20448400,0.30726700,0.08100000
0.082,8.18462200,0.30801600,0.08200000
0.083,8.16468800,0.30877500,0.08300000
0.084,8.14475400,0.30953500,0.08400000
