s,A(s) (GHz),B(s) (GHz),C (normalized)
0.000,9.62694800,0.23167120,0.00000000
0.001,9.60955900,0.23208360,0.00100000
0.002,9.59205400,0.23250480,0.00200000
0.003,9.57446100,0.23293260,0.00300000
0.004,9.55686800,0.23336070,0.00400000
0.005,9.53927500,0.23378930,0.00500000
0.006,9.52153700,0.23422970,0.00600000
0.007,9.50374200,0.23467490,0.00700000
0.008,9.48594800,0.23512060,0.00800000
0.009,9.46815300,0.23556670,0.00900000
0.010,9.45035900,0.23601330,0.01000000
0.011,9.43256400,0.23646020,0.01100000
0.012,9.41476900,0.23690760,0.01200000
0.013,9.39697500,0.23735540,0.01300000
0.014,9.37918000,0.23780360,0.01400000
0.015,9.36138500,0.23825230,0.01500000
0.016,9.34359100,0.23870140,0.01600000
0.017,9.32579600,0.23915080,0.01700000
0.018,9.30800100,0.23960080,0.01800000
0.019,9.29014200,0.24005610,0.01900000
0.020,9.27214700,0.24052220,0.02000000
0.021,9.25415200,0.24098880,0.02100000
0.022,9.23615800,0.24145580,0.02200000
0.023,9.21814300,0.24192500,0.02300000
0.024,9.19993200,0.24241140,0.02400000
0.025,9.18172000,0.24289830,0.02500000
0.026,9.16350900,0.24338570,0.02600000
0.027,9.14529800,0.24387360,0.02700000
0.028,9.12708600,0.24436200,0.02800000
0.029,9.10887500,0.24485090,0.02900000
0.030,9.09066300,0.24534020,0.03000000
0.031,9.07245200,0.24583010,0.03100000
0.032,9.05424000,0.24632040,0.03200000
0.033,9.03602900,0.24681120,0.03300000
0.034,9.01781800,0.24730260,0.03400000
0.035,8.99960600,0.24779440,0.03500000
0.036,8.98137800,0.24828810,0.03600000
0.037,8.96294600,0.24879900,0.03700000
0.038,8.94451400,0.24931050,0.03800000
0.039,8.92608200,0.24982260,0.03900000
0.040,8.90765100,0.25033510,0.04000000
0.041,8.88910700,0.25085860,0.04100000
0.042,8.87043500,0.25139460,0.04200000
0.043,8.85176300,0.25193110,0.04300000
0.044,8.83309100,0.25246820,0.04400000
0.045,8.81441900,0.25300590,0.04500000
0.046,8.79574700,0.25354410,0.04600000
0.047,8.77707400,0.25408290,0.04700000
0.048,8.75840200,0.25462230,0.04800000
0.049,8.73973000,0.25516230,0.04900000
0.050,8.72105800,0.25570290,0.05000000
0.051,8.70238600,0.25624400,0.05100000
0.052,8.68371400,0.25678570,0.05200000
0.053,8.66504200,0.25732790,0.05300000
0.054,8.64616700,0.25788900,0.05400000
0.055,8.62724900,0.25845450,0.05500000
0.056,8.60833200,0.25902070,0.05600000
0.057,8.58941500,0.25958740,0.05700000
0.058,8.57049800,0.26015480,0.05800000
0.059,8.55138300,0.26074290,0.05900000
0.060,8.53223000,0.26133560,0.06000000
0.061,8.51307700,0.26192890,0.06100000
0.062,8.49392400,0.26252300,0.06200000
0.063,8.47477100,0.26311770,0.06300000
0.064,8.45561800,0.26371300,0.06400000
0.065,8.43646500,0.26430910,0.06500000
0.066,8.41731200,0.26490580,0.06600000
0.067,8.39815900,0.26550320,0.06700000
0.068,8.37900600,0.26610130,0.06800000
0.069,8.35985300,0.26670000,0.06900000
0.070,8.34070000,0.26729940,0.07000000
0.071,8.32139700,0.26791430,0.07100000
0.072,8.30198700,0.26854050,0.07200000
0.073,8.28257700,0.26916740,0.07300000
0.074,8.26316700,0.26979500,0.07400000
0.075,8.24375700,0.27042340,0.07500000
0.076,8.22428800,0.27105910,0.07600000
0.077,8.20460200,0.27172000,0.07700000
0.078,8.18491600,0.27238170,0.07800000
0.079,8.16523000,0.27304420,0.07900000
0.080,8.14554400,0.27370750,0.08000000
0.081,8.12585800,0.27437160,0.08100000
0.082,8.10617300,0.27503660,0.08200000
0.083,8.08648700,0.27570230,0.08300000
0.084,8.06680100,0.27636880,0.08400000
0.085,8.04711500,0.27703610,0.08500000
