s,A(s) (GHz),B(s) (GHz),c (normalized)
0.000,9.87512500,0.22400610,0.00000000
0.001,9.85765700,0.22440390,0.00100100
0.002,9.84018900,0.22480160,0.00200200
0.003,9.82272100,0.22519930,0.00300300
0.004,9.80525300,0.22559700,0.00400400
0.005,9.78778500,0.22599480,0.00500501
0.006,9.77017600,0.22640350,0.00600601
0.007,9.75246800,0.22682010,0.00700701
0.008,9.73475900,0.22723670,0.00800801
0.009,9.71705000,0.22765320,0.00900901
0.010,9.69934200,0.22806980,0.01001001
0.011,9.68163300,0.22848710,0.01101101
0.012,9.66392400,0.22890570,0.01201201
0.013,9.64621600,0.22932430,0.01301301
0.014,9.62850700,0.22974280,0.01401401
0.015,9.61079800,0.23016140,0.01501502
0.016,9.59308900,0.23058030,0.01601602
0.017,9.57536800,0.23100180,0.01701702
0.018,9.55764700,0.23142320,0.01801802
0.019,9.53992700,0.23184470,0.01901902
0.020,9.52220600,0.23226610,0.02002002
0.021,9.50444700,0.23269060,0.02102102
0.022,9.48633300,0.23314370,0.02202202
0.023,9.46818400,0.23359950,0.02302302
0.024,9.45003500,0.23405540,0.02402402
0.025,9.43188600,0.23451120,0.02502503
0.026,9.41373600,0.23496760,0.02602603
0.027,9.39558300,0.23542580,0.02702703
0.028,9.37743000,0.23588410,0.02802803
0.029,9.35927700,0.23634240,0.02902903
0.030,9.34112400,0.23680070,0.03003003
0.031,9.32297100,0.23725980,0.03103103
0.032,9.30481800,0.23772020,0.03203203
0.033,9.28666500,0.23818060,0.03303303
0.034,9.26851200,0.23864100,0.03403403
0.035,9.25035900,0.23910150,0.03503504
0.036,9.23212600,0.23956970,0.03603604
0.037,9.21381300,0.24004530,0.03703704
0.038,9.19549900,0.24052090,0.03803804
0.039,9.17718600,0.24099660,0.03903904
0.040,9.15884400,0.24147480,0.04004004
0.041,9.14031000,0.24197040,0.04104104
0.042,9.12173000,0.24247020,0.04204204
0.043,9.10314900,0.24297000,0.04304304
0.044,9.08456800,0.24346990,0.04404404
0.045,9.06598800,0.24397070,0.04504505
0.046,9.04740700,0.24447280,0.04604605
0.047,9.02882600,0.24497490,0.04704705
0.048,9.01024600,0.24547710,0.04804805
0.049,8.99166500,0.24597960,0.04904905
0.050,8.97308400,0.24648350,0.05005005
0.051,8.95450400,0.24698800,0.05105105
0.052,8.93592300,0.24749240,0.05205205
0.053,8.91734200,0.24799680,0.05305305
0.054,8.89869100,0.24850870,0.05405405
0.055,8.87988800,0.24903500,0.05505506
0.056,8.86108600,0.24956130,0.05605606
0.057,8.84228300,0.25008770,0.05705706
0.058,8.82338700,0.25062310,0.05805806
0.059,8.80436200,0.25117150,0.05905906
0.060,8.78531200,0.25172230,0.06006006
0.061,8.76626200,0.25227320,0.06106106
0.062,8.74721200,0.25282460,0.06206206
0.063,8.72816200,0.25337740,0.06306306
0.064,8.70911200,0.25393070,0.06406406
0.065,8.69006200,0.25448410,0.06506507
0.066,8.67101200,0.25503790,0.06606607
0.067,8.65196300,0.25559290,0.06706707
0.068,8.63291300,0.25614880,0.06806807
0.069,8.61386300,0.25670460,0.06906907
0.070,8.59481000,0.25726110,0.07007007
0.071,8.57572800,0.25782150,0.07107107
0.072,8.55654700,0.25839240,0.07207207
0.073,8.53736500,0.25896330,0.07307307
0.074,8.51812400,0.25954040,0.07407407
0.075,8.49867100,0.26013960,0.07507508
0.076,8.47910500,0.26075070,0.07607608
0.077,8.45953900,0.26136180,0.07707708
0.078,8.43997400,0.26197360,0.07807808
0.079,8.42040800,0.26258650,0.07907908
0.080,8.40084200,0.26320030,0.08008008
0.081,8.38127700,0.26381410,0.08108108
0.082,8.36171100,0.26442890,0.08208208
0.083,8.34214500,0.26504470,0.08308308
0.084,8.32258000,0.26566130,0.08408408
0.085,8.30301400,0.26627780,0.08508509
0.086,8.28344800,0.26689570,0.08608609
0.087,8.26388300,0.26751440,0.08708709
0.088,8.24431700,0.26813370,0.08808809
0.089,8.22472800,0.26875590,0.08908909
0.090,8.20506500,0.26938710,0.09009009
0.091,8.18519300,0.27004160,0.09109109
0.092,8.16526500,0.27070220,0.09209209
0.093,8.14521900,0.27137660,0.09309309
0.094,8.12510000,0.27206020,0.09409409
0.095,8.10497500,0.27274530,0.09509510
0.096,8.08485100,0.27343080,0.09609610
0.097,8.06472700,0.27411740,0.09709710
0.098,8.04460300,0.27480510,0.09809810
0.099,8.02447900,0.27549320,0.09909910
0.100,8.00435500,0.27618250,0.10010010
0.101,7.98423100,0.27687250,0.10110110
0.102,7.96410700,0.27756350,0.10210210
0.103,7.94398300,0.27825520,0.10310310
0.104,7.92385900,0.27894780,0.10410410
0.105,7.90372600,0.27964240,0.10510510
0.106,7.88359100,0.28033770,0.10610610
0.107,7.86340600,0.28104070,0.10710710
0.108,7.84315700,0.28175150,0.10810810
0.109,7.82269300,0.28248870,0.10910910
0.110,7.80209200,0.28324370,0.11011010
0.111,7.78141400,0.28400870,0.11111110
0.112,7.76073700,0.28477530,0.11211210
0.113,7.74005900,0.28554280,0.11311310
0.114,7.71938100,0.28631110,0.11411410
0.115,7.69870300,0.28708060,0.11511510
0.116,7.67802500,0.28785120,0.11611610
0.117,7.65734800,0.28862270,0.11711710
0.118,7.63667000,0.28939520,0.11811810
0.119,7.61599200,0.29016880,0.11911910
0.120,7.59531400,0.29094360,0.12012010
0.121,7.57463600,0.29171910,0.12112110
0.122,7.55395900,0.29249570,0.12212210
0.123,7.53328100,0.29327370,0.12312310
0.124,7.51256300,0.29405740,0.12412410
0.125,7.49171200,0.29485980,0.12512510
0.126,7.47068000,0.29568880,0.12612610
0.127,7.44962300,0.29652140,0.12712710
0.128,7.42846100,0.29736940,0.12812810
0.129,7.40716200,0.29823800,0.12912910
0.130,7.38586300,0.29910710,0.13013010
0.131,7.36456500,0.29997790,0.13113110
0.132,7.34326600,0.30085010,0.13213210
0.133,7.32196700,0.30172290,0.13313310
0.134,7.30066900,0.30259780,0.13413410
0.135,7.27937000,0.30347360,0.13513510
0.136,7.25807200,0.30435010,0.13613610
0.137,7.23677300,0.30522900,0.13713710
0.138,7.21547400,0.30610840,0.13813810
0.139,7.19417600,0.30698870,0.13913910
0.140,7.17287700,0.30787160,0.14014010
0.141,7.15157900,0.30875460,0.14114110
0.142,7.13012700,0.30966180,0.14214210
0.143,7.10851800,0.31059550,0.14314310
0.144,7.08690800,0.31152920,0.14414410
0.145,7.06508800,0.31249780,0.14514510
0.146,7.04312700,0.31348990,0.14614610
0.147,7.02116700,0.31448260,0.14714710
0.148,6.99920700,0.31547840,0.14814810
0.149,6.97724600,0.31647450,0.14914910
0.150,6.95528600,0.31747280,0.15015020
0.151,6.93332500,0.31847290,0.15115120
0.152,6.91136500,0.31947320,0.15215220
0.153,6.88940400,0.32047710,0.15315320
0.154,6.86744400,0.32148120,0.15415420
0.155,6.84548400,0.32248710,0.15515520
0.156,6.82352300,0.32349520,0.15615620
0.157,6.80156300,0.32450340,0.15715720
0.158,6.77960200,0.32551500,0.15815820
0.159,6.75764200,0.32652720,0.15915920
0.160,6.73555600,0.32756250,0.16016020
0.161,6.71318000,0.32865100,0.16116120
0.162,6.69080400,0.32973950,0.16216220
0.163,6.66821800,0.33087040,0.16316320
0.164,6.64559800,0.33200780,0.16416420
0.165,6.62297800,0.33314790,0.16516520
0.166,6.60035900,0.33428970,0.16616620
0.167,6.57773900,0.33543290,0.16716720
0.168,6.55511900,0.33657930,0.16816820
0.169,6.53249900,0.33772590,0.16916920
0.170,6.50988000,0.33887650,0.17017020
0.171,6.48726000,0.34002730,0.17117120
0.172,6.46464000,0.34118140,0.17217220
