s,A(s) (GHz),B(s) (GHz),c (normalized)
0.000,9.69285800,0.49384170,0.00000000
0.001,9.67433600,0.49478580,0.00100000
0.002,9.65580400,0.49573260,0.00200000
0.003,9.63727100,0.49668030,0.00300000
0.004,9.61873900,0.49762900,0.00400000
0.005,9.60018100,0.49858260,0.00500000
0.006,9.58160400,0.49954050,0.00600000
0.007,9.56298400,0.50050670,0.00700000
0.008,9.54436200,0.50147420,0.00800000
0.009,9.52567300,0.50245440,0.00900000
0.010,9.50691400,0.50344770,0.01000000
0.011,9.48815400,0.50444210,0.01100000
0.012,9.46939500,0.50543740,0.01200000
0.013,9.45059500,0.50644080,0.01300000
0.014,9.43178800,0.50744650,0.01400000
0.015,9.41298000,0.50845320,0.01500000
0.016,9.39417200,0.50946090,0.01600000
0.017,9.37533100,0.51047550,0.01700000
0.018,9.35647500,0.51149360,0.01800000
0.019,9.33758200,0.51251970,0.01900000
0.020,9.31866900,0.51355030,0.02000000
0.021,9.29969700,0.51459310,0.02100000
0.022,9.28063100,0.51565440,0.02200000
0.023,9.26156400,0.51671690,0.02300000
0.024,9.24249700,0.51778040,0.02400000
0.025,9.22338500,0.51885340,0.02500000
0.026,9.20426900,0.51992820,0.02600000
0.027,9.18515300,0.52100410,0.02700000
0.028,9.16603700,0.52208110,0.02800000
0.029,9.14687900,0.52316690,0.02900000
0.030,9.12771400,0.52425520,0.03000000
0.031,9.10853100,0.52534830,0.03100000
0.032,9.08931700,0.52644850,0.03200000
0.033,9.07005500,0.52755930,0.03300000
0.034,9.05069500,0.52869060,0.03400000
0.035,9.03132900,0.52982410,0.03500000
0.036,9.01196300,0.53095900,0.03600000
0.037,8.99254400,0.53210530,0.03700000
0.038,8.97312600,0.53325290,0.03800000
0.039,8.95370700,0.53440160,0.03900000
0.040,8.93428900,0.53555170,0.04000000
0.041,8.91481700,0.53671330,0.04100000
0.042,8.89534500,0.53787630,0.04200000
0.043,8.87586800,0.53904160,0.04300000
0.044,8.85634100,0.54021850,0.04400000
0.045,8.83677400,0.54140530,0.04500000
0.046,8.81709100,0.54261760,0.04600000
0.047,8.79739700,0.54383350,0.04700000
0.048,8.77769700,0.54505200,0.04800000
0.049,8.75795200,0.54628130,0.04900000
0.050,8.73820700,0.54751200,0.05000000
0.051,8.71846100,0.54874410,0.05100000
0.052,8.69870900,0.54997920,0.05200000
0.053,8.67891200,0.55122490,0.05300000
0.054,8.65911400,0.55247200,0.05400000
0.055,8.63931700,0.55372050,0.05500000
0.056,8.61947600,0.55498030,0.05600000
0.057,8.59959300,0.55625070,0.05700000
0.058,8.57959000,0.55754980,0.05800000
0.059,8.55957000,0.55885400,0.05900000
0.060,8.53953900,0.56016240,0.06000000
0.061,8.51946400,0.56148180,0.06100000
0.062,8.49938900,0.56280290,0.06200000
0.063,8.47931400,0.56412540,0.06300000
0.064,8.45922300,0.56545310,0.06400000
0.065,8.43909300,0.56679110,0.06500000
0.066,8.41896300,0.56813060,0.06600000
0.067,8.39883200,0.56947170,0.06700000
0.068,8.37867100,0.57082200,0.06800000
0.069,8.35846000,0.57218570,0.06900000
0.070,8.33812600,0.57358060,0.07000000
0.071,8.31776900,0.57498270,0.07100000
0.072,8.29739600,0.57639040,0.07200000
0.073,8.27698700,0.57780810,0.07300000
0.074,8.25657900,0.57922770,0.07400000
0.075,8.23617000,0.58064900,0.07500000
0.076,8.21573800,0.58207740,0.07600000
0.077,8.19527700,0.58351440,0.07700000
0.078,8.17481600,0.58495320,0.07800000
0.079,8.15435500,0.58639390,0.07900000
0.080,8.13388000,0.58783990,0.08000000
0.081,8.11334200,0.58930420,0.08100000
0.082,8.09267100,0.59080440,0.08200000
0.083,8.07196200,0.59231640,0.08300000
0.084,8.05122700,0.59383690,0.08400000
0.085,8.03045400,0.59536900,0.08500000
0.086,8.00968100,0.59690300,0.08600000
0.087,7.98890800,0.59843910,0.08700000
0.088,7.96809600,0.59998660,0.08800000
0.089,7.94725900,0.60154290,0.08900000
0.090,7.92642100,0.60310120,0.09000000
0.091,7.90558400,0.60466150,0.09100000
0.092,7.88474600,0.60622380,0.09200000
0.093,7.86383800,0.60780800,0.09300000
0.094,7.84279800,0.60943110,0.09400000
0.095,7.82170700,0.61107080,0.09500000
0.096,7.80058500,0.61272100,0.09600000
0.097,7.77943200,0.61438200,0.09700000
0.098,7.75827900,0.61604530,0.09800000
0.099,7.73712600,0.61771080,0.09900000
0.100,7.71592700,0.61939120,0.10000000
0.101,7.69471100,0.62107830,0.10100000
0.102,7.67349500,0.62276770,0.10200000
0.103,7.65228000,0.62445940,0.10300000
0.104,7.63106400,0.62615340,0.10400000
0.105,7.60980100,0.62786440,0.10500000
0.106,7.58837600,0.62962720,0.10600000
0.107,7.56687900,0.63141460,0.10700000
0.108,7.54533800,0.63321760,0.10800000
0.109,7.52376600,0.63503220,0.10900000
0.110,7.50219500,0.63684950,0.11000000
0.111,7.48062300,0.63866940,0.11100000
0.112,7.45898500,0.64051170,0.11200000
0.113,7.43733900,0.64235910,0.11300000
0.114,7.41569300,0.64420930,0.11400000
0.115,7.39404700,0.64606210,0.11500000
0.116,7.37240100,0.64791760,0.11600000
0.117,7.35072900,0.64978430,0.11700000
0.118,7.32890600,0.65170470,0.11800000
0.119,7.30700300,0.65365500,0.11900000
0.120,7.28505900,0.65562140,0.12000000
0.121,7.26309700,0.65759690,0.12100000
0.122,7.24113400,0.65957530,0.12200000
0.123,7.21917000,0.66155740,0.12300000
0.124,7.19714900,0.66356110,0.12400000
0.125,7.17512800,0.66556780,0.12500000
0.126,7.15310700,0.66757760,0.12600000
0.127,7.13108500,0.66959040,0.12700000
0.128,7.10906400,0.67160620,0.12800000
0.129,7.08703700,0.67362730,0.12900000
0.130,7.06484500,0.67571250,0.13000000
0.131,7.04254200,0.67784170,0.13100000
0.132,7.02018500,0.67999360,0.13200000
0.133,6.99781200,0.68215430,0.13300000
0.134,6.97544000,0.68431840,0.13400000
0.135,6.95305500,0.68649050,0.13500000
0.136,6.93061300,0.68868630,0.13600000
0.137,6.90817100,0.69088560,0.13700000
0.138,6.88572900,0.69308840,0.13800000
0.139,6.86328700,0.69529480,0.13900000
0.140,6.84084500,0.69750460,0.14000000
0.141,6.81840300,0.69971800,0.14100000
0.142,6.79583600,0.70198580,0.14200000
0.143,6.77313600,0.70431100,0.14300000
0.144,6.75038000,0.70666210,0.14400000
0.145,6.72761500,0.70902040,0.14500000
0.146,6.70485000,0.71138260,0.14600000
0.147,6.68206400,0.71375710,0.14700000
0.148,6.65923300,0.71615270,0.14800000
0.149,6.63640300,0.71855230,0.14900000
0.150,6.61357300,0.72095590,0.15000000
0.151,6.59074300,0.72336350,0.15100000
0.152,6.56791300,0.72577510,0.15200000
0.153,6.54508300,0.72819080,0.15300000
0.154,6.52212900,0.73066730,0.15400000
0.155,6.49893900,0.73325600,0.15500000
0.156,6.47566100,0.73588840,0.15600000
0.157,6.45238000,0.73852680,0.15700000
0.158,6.42909900,0.74117000,0.15800000
0.159,6.40577700,0.74383600,0.15900000
0.160,6.38240900,0.74652680,0.16000000
0.161,6.35904100,0.74922230,0.16100000
0.162,6.33567400,0.75192280,0.16200000
0.163,6.31230600,0.75462810,0.16300000
0.164,6.28893900,0.75733820,0.16400000
0.165,6.26557100,0.76005330,0.16500000
0.166,6.24214400,0.76280460,0.16600000
0.167,6.21851100,0.76566960,0.16700000
0.168,6.19480300,0.76857750,0.16800000
0.169,6.17109600,0.77149100,0.16900000
0.170,6.14738800,0.77440990,0.17000000
0.171,6.12363700,0.77735580,0.17100000
0.172,6.09986100,0.78032010,0.17200000
0.173,6.07608400,0.78329000,0.17300000
0.174,6.05230800,0.78626560,0.17400000
0.175,6.02853100,0.78924680,0.17500000
0.176,6.00475500,0.79223360,0.17600000
0.177,5.98097800,0.79522610,0.17700000
0.178,5.95716800,0.79824440,0.17800000
0.179,5.93309600,0.80142490,0.17900000
0.180,5.90893500,0.80466240,0.18000000
0.181,5.88477400,0.80790650,0.18100000
0.182,5.86061300,0.81115710,0.18200000
0.183,5.83639400,0.81444730,0.18300000
0.184,5.81215700,0.81775390,0.18400000
0.185,5.78792000,0.82106730,0.18500000
0.186,5.76368200,0.82438730,0.18600000
0.187,5.73944500,0.82771410,0.18700000
0.188,5.71520800,0.83104750,0.18800000
0.189,5.69097100,0.83438760,0.18900000
0.190,5.66671400,0.83774810,0.19000000
0.191,5.64223100,0.84126890,0.19100000
0.192,5.61764000,0.84487020,0.19200000
0.193,5.59304800,0.84847910,0.19300000
0.194,5.56845700,0.85209580,0.19400000
0.195,5.54379600,0.85576500,0.19500000
0.196,5.51912900,0.85944580,0.19600000
0.197,5.49446200,0.86313460,0.19700000
0.198,5.46979500,0.86683120,0.19800000
0.199,5.44512800,0.87053580,0.19900000
0.200,5.42046100,0.87424820,0.20000000
0.201,5.39579400,0.87796860,0.20100000
0.202,5.37111200,0.88170910,0.20200000
0.203,5.34618600,0.88565460,0.20300000
0.204,5.32110500,0.88973430,0.20400000
0.205,5.29602400,0.89382340,0.20500000
0.206,5.27093800,0.89792600,0.20600000
0.207,5.24577800,0.90209380,0.20700000
