s,A(s) (GHz),B(s) (GHz),C (normalized)
0.000,10.00000000,0.54472040,0.00000000
0.001,9.98361900,0.54561290,0.00100000
0.002,9.96723900,0.54650540,0.00200000
0.003,9.95085800,0.54739790,0.00300000
0.004,9.93447800,0.54829040,0.00400000
0.005,9.91809200,0.54918400,0.00500000
0.006,9.90158500,0.55010240,0.00600000
0.007,9.88507900,0.55102080,0.00700000
0.008,9.86857200,0.55193920,0.00800000
0.009,9.85206500,0.55285760,0.00900000
0.010,9.83554400,0.55377940,0.01000000
0.011,9.81896300,0.55471460,0.01100000
0.012,9.80238200,0.55564990,0.01200000
0.013,9.78580100,0.55658510,0.01300000
0.014,9.76922000,0.55752040,0.01400000
0.015,9.75262900,0.55845920,0.01500000
0.016,9.73602300,0.55940280,0.01600000
0.017,9.71941700,0.56034630,0.01700000
0.018,9.70281200,0.56128990,0.01800000
0.019,9.68620600,0.56223340,0.01900000
0.020,9.66944000,0.56320940,0.02000000
0.021,9.65260000,0.56420030,0.02100000
0.022,9.63576000,0.56519110,0.02200000
0.023,9.61892000,0.56618200,0.02300000
0.024,9.60208000,0.56717340,0.02400000
0.025,9.58524000,0.56816820,0.02500000
0.026,9.56840000,0.56916300,0.02600000
0.027,9.55156000,0.57015780,0.02700000
0.028,9.53472000,0.57115270,0.02800000
0.029,9.51782500,0.57216050,0.02900000
0.030,9.50089400,0.57317690,0.03000000
0.031,9.48396400,0.57419320,0.03100000
0.032,9.46703400,0.57520950,0.03200000
0.033,9.45008500,0.57623000,0.03300000
0.034,9.43303000,0.57727460,0.03400000
0.035,9.41597600,0.57831920,0.03500000
0.036,9.39892100,0.57936390,0.03600000
0.037,9.38186600,0.58040850,0.03700000
0.038,9.36481200,0.58145630,0.03800000
0.039,9.34775700,0.58250510,0.03900000
0.040,9.33070200,0.58355380,0.04000000
0.041,9.31364800,0.58460250,0.04100000
0.042,9.29651600,0.58566890,0.04200000
0.043,9.27928400,0.58675820,0.04300000
0.044,9.26205200,0.58784750,0.04400000
0.045,9.24482000,0.58893690,0.04500000
0.046,9.22756500,0.59003180,0.04600000
0.047,9.21023200,0.59114610,0.04700000
0.048,9.19290000,0.59226050,0.04800000
0.049,9.17556700,0.59337480,0.04900000
0.050,9.15823500,0.59448950,0.05000000
0.051,9.14090200,0.59560820,0.05100000
0.052,9.12356900,0.59672690,0.05200000
0.053,9.10623700,0.59784550,0.05300000
0.054,9.08890400,0.59896420,0.05400000
0.055,9.07141700,0.60012040,0.05500000
0.056,9.05392500,0.60127820,0.05600000
0.057,9.03643200,0.60243610,0.05700000
0.058,9.01893900,0.60359390,0.05800000
0.059,9.00138400,0.60476950,0.05900000
0.060,8.98382600,0.60594600,0.06000000
0.061,8.96626800,0.60712260,0.06100000
0.062,8.94871000,0.60829910,0.06200000
0.063,8.93115100,0.60948010,0.06300000
0.064,8.91359300,0.61066120,0.06400000
0.065,8.89603500,0.61184220,0.06500000
0.066,8.87847100,0.61302480,0.06600000
0.067,8.86073000,0.61425240,0.06700000
0.068,8.84298900,0.61547990,0.06800000
0.069,8.82524800,0.61670740,0.06900000
0.070,8.80748600,0.61794070,0.07000000
0.071,8.78964600,0.61919580,0.07100000
0.072,8.77180500,0.62045100,0.07200000
0.073,8.75396500,0.62170610,0.07300000
0.074,8.73612400,0.62296340,0.07400000
0.075,8.71828400,0.62422330,0.07500000
0.076,8.70044300,0.62548310,0.07600000
0.077,8.68260300,0.62674300,0.07700000
0.078,8.66468100,0.62802620,0.07800000
0.079,8.64672400,0.62931940,0.07900000
0.080,8.62876700,0.63061250,0.08000000
0.081,8.61080500,0.63190690,0.08100000
0.082,8.59268700,0.63324430,0.08200000
0.083,8.57456900,0.63458180,0.08300000
0.084,8.55645100,0.63591920,0.08400000
0.085,8.53833400,0.63725890,0.08500000
0.086,8.52021600,0.63860140,0.08600000
0.087,8.50209800,0.63994380,0.08700000
0.088,8.48398000,0.64128630,0.08800000
0.089,8.46585400,0.64263540,0.08900000
0.090,8.44772700,0.64398520,0.09000000
0.091,8.42960000,0.64533500,0.09100000
0.092,8.41137900,0.64671110,0.09200000
0.093,8.39298000,0.64813710,0.09300000
0.094,8.37458100,0.64956300,0.09400000
0.095,8.35618100,0.65098900,0.09500000
0.096,8.33778200,0.65242000,0.09600000
0.097,8.31938300,0.65385130,0.09700000
0.098,8.30098300,0.65528250,0.09800000
0.099,8.28258400,0.65671680,0.09900000
0.100,8.26418500,0.65815340,0.10000000
0.101,8.24578500,0.65958990,0.10100000
0.102,8.22735900,0.66103510,0.10200000
0.103,8.20882800,0.66251360,0.10300000
0.104,8.19029700,0.66399210,0.10400000
0.105,8.17176600,0.66547070,0.10500000
0.106,8.15308000,0.66699740,0.10600000
0.107,8.13437800,0.66852900,0.10700000
0.108,8.11567700,0.67006050,0.10800000
0.109,8.09697600,0.67159610,0.10900000
0.110,8.07827400,0.67313330,0.11000000
0.111,8.05957300,0.67467040,0.11100000
0.112,8.04087100,0.67621050,0.11200000
0.113,8.02217000,0.67775330,0.11300000
0.114,8.00346900,0.67929610,0.11400000
0.115,7.98470500,0.68085940,0.11500000
0.116,7.96581300,0.68246460,0.11600000
0.117,7.94692200,0.68406980,0.11700000
0.118,7.92800500,0.68568430,0.11800000
0.119,7.90900800,0.68732680,0.11900000
0.120,7.89001200,0.68896930,0.12000000
0.121,7.87101600,0.69061320,0.12100000
0.122,7.85202000,0.69226160,0.12200000
0.123,7.83302400,0.69391000,0.12300000
0.124,7.81402700,0.69555960,0.12400000
0.125,7.79503100,0.69721400,0.12500000
0.126,7.77603500,0.69886830,0.12600000
0.127,7.75700100,0.70053610,0.12700000
0.128,7.73779700,0.70226340,0.12800000
0.129,7.71859300,0.70399070,0.12900000
0.130,7.69935500,0.70573060,0.13000000
0.131,7.68003200,0.70750280,0.13100000
0.132,7.66070800,0.70927510,0.13200000
0.133,7.64138400,0.71105020,0.13300000
0.134,7.62206100,0.71282870,0.13400000
0.135,7.60273700,0.71460730,0.13500000
0.136,7.58341300,0.71638960,0.13600000
0.137,7.56408900,0.71817450,0.13700000
0.138,7.54476600,0.71995940,0.13800000
0.139,7.52534700,0.72178230,0.13900000
0.140,7.50589900,0.72361730,0.14000000
0.141,7.48645000,0.72545230,0.14100000
0.142,7.46679200,0.72736780,0.14200000
0.143,7.44713000,0.72928440,0.14300000
0.144,7.42746800,0.73120320,0.14400000
0.145,7.40780700,0.73312660,0.14500000
0.146,7.38814500,0.73505000,0.14600000
0.147,7.36848300,0.73697770,0.14700000
0.148,7.34882100,0.73890780,0.14800000
0.149,7.32916000,0.74083790,0.14900000
0.150,7.30949800,0.74277470,0.15000000
0.151,7.28983600,0.74471150,0.15100000
0.152,7.27009500,0.74668080,0.15200000
0.153,7.25019200,0.74871620,0.15300000
0.154,7.23028900,0.75075160,0.15400000
0.155,7.21034700,0.75280750,0.15500000
0.156,7.19039400,0.75486890,0.15600000
