s,A(s) (GHz),B(s) (GHz),C (normalized)
0.000,9.83941700,0.25919250,0.00000000
0.001,9.82163400,0.25966040,0.00100000
0.002,9.80385000,0.26012870,0.00200000
0.003,9.78606600,0.26059750,0.00300000
0.004,9.76828200,0.26106670,0.00400000
0.005,9.75045300,0.26153990,0.00500000
0.006,9.73247000,0.26202600,0.00600000
0.007,9.71448700,0.26251240,0.00700000
0.008,9.69650400,0.26299940,0.00800000
0.009,9.67852100,0.26348670,0.00900000
0.010,9.66053800,0.26397460,0.01000000
0.011,9.64255500,0.26446290,0.01100000
0.012,9.62457200,0.26495160,0.01200000
0.013,9.60645600,0.26545230,0.01300000
0.014,9.58826500,0.26595980,0.01400000
0.015,9.57007500,0.26646790,0.01500000
0.016,9.55188500,0.26697640,0.01600000
0.017,9.53369500,0.26748550,0.01700000
0.018,9.51550500,0.26799500,0.01800000
0.019,9.49731400,0.26850500,0.01900000
0.020,9.47912400,0.26901540,0.02000000
0.021,9.46088200,0.26953090,0.02100000
0.022,9.44248100,0.27006060,0.02200000
0.023,9.42408000,0.27059080,0.02300000
0.024,9.40567800,0.27112160,0.02400000
0.025,9.38727700,0.27165280,0.02500000
0.026,9.36887600,0.27218460,0.02600000
0.027,9.35047400,0.27271690,0.02700000
0.028,9.33207300,0.27324970,0.02800000
0.029,9.31356400,0.27379310,0.02900000
0.030,9.29497100,0.27434480,0.03000000
0.031,9.27637900,0.27489700,0.03100000
0.032,9.25778600,0.27544980,0.03200000
0.033,9.23919300,0.27600310,0.03300000
0.034,9.22060100,0.27655700,0.03400000
0.035,9.20200800,0.27711150,0.03500000
0.036,9.18341500,0.27766650,0.03600000
0.037,9.16477200,0.27822680,0.03700000
0.038,9.14598400,0.27880100,0.03800000
0.039,9.12719700,0.27937580,0.03900000
0.040,9.10841000,0.27995120,0.04000000
0.041,9.08962300,0.28052710,0.04100000
0.042,9.07083500,0.28110370,0.04200000
0.043,9.05204800,0.28168090,0.04300000
0.044,9.03326100,0.28225860,0.04400000
0.045,9.01437000,0.28284740,0.04500000
0.046,8.99536800,0.28344770,0.04600000
0.047,8.97636700,0.28404870,0.04700000
0.048,8.95736600,0.28465030,0.04800000
0.049,8.93836500,0.28525260,0.04900000
